Wall time,Step,Value
1536031603.6853142,2,0.34375
1536031604.215312,3,0.34375
1536031604.7323127,4,0.25
1536031605.2963119,5,0.390625
1536031606.6546404,6,0.36000001430511475
1536031606.8770337,7,0.4000000059604645
1536031607.4060328,8,0.296875
1536031607.950033,9,0.34375
1536031608.525034,10,0.375
1536031609.061033,11,0.390625
1536031610.5901678,12,0.40625
1536031610.807168,13,0.36000001430511475
1536031611.0211687,14,0.4399999976158142
1536031611.5661695,15,0.453125
1536031612.120167,16,0.28125
1536031612.6701665,17,0.34375
1536031614.2138317,18,0.421875
1536031614.754208,19,0.46875
1536031614.9682086,20,0.5600000023841858
1536031615.1822107,21,0.5600000023841858
1536031615.7192075,22,0.59375
1536031616.3192072,23,0.265625
1536031617.9100757,24,0.5625
1536031618.4560754,25,0.59375
1536031619.0060768,26,0.625
1536031619.2210784,27,0.4399999976158142
1536031619.4350762,28,0.5600000023841858
1536031619.9780786,29,0.5
1536031621.52059,30,0.359375
1536031622.0885923,31,0.515625
1536031622.6315966,32,0.609375
1536031623.174591,33,0.53125
1536031623.3935907,34,0.6399999856948853
1536031623.6085904,35,0.7599999904632568
1536031625.141181,36,0.53125
1536031625.706182,37,0.328125
1536031626.2871838,38,0.6875
1536031626.8551807,39,0.59375
1536031627.4441805,40,0.578125
1536031627.6991818,41,0.6800000071525574
1536031628.9655025,42,0.6800000071525574
1536031629.7849722,43,0.5625
1536031630.421974,44,0.484375
1536031631.0499723,45,0.578125
1536031631.652972,46,0.609375
1536031632.2219725,47,0.6875
1536031633.4367864,48,0.5199999809265137
1536031633.7607858,49,0.7599999904632568
1536031634.5187857,50,0.578125
1536031635.2057822,51,0.40625
1536031635.8597803,52,0.78125
1536031636.5127811,53,0.640625
1536031638.102403,54,0.671875
1536031638.3594034,55,0.800000011920929
1536031638.6194031,56,0.8399999737739563
1536031639.277403,57,0.640625
1536031639.998403,58,0.265625
1536031640.6204019,59,0.53125
1536031642.282879,60,0.59375
1536031642.9188757,61,0.6875
1536031643.1698768,62,0.6800000071525574
1536031643.3978784,63,0.800000011920929
1536031644.0318792,64,0.78125
1536031644.6358774,65,0.359375
1536031646.2483785,66,0.71875
1536031646.8943763,67,0.703125
1536031647.560382,68,0.6875
1536031647.799376,69,0.6800000071525574
1536031648.0363774,70,0.6800000071525574
1536031648.6823785,71,0.59375
1536031650.2955258,72,0.359375
1536031650.8775246,73,0.765625
1536031651.4565275,74,0.703125
1536031652.0485277,75,0.734375
1536031652.2785268,76,0.800000011920929
1536031652.5115259,77,0.9200000166893005
1536031654.0931895,78,0.8125
1536031654.6741915,79,0.421875
1536031655.2531903,80,0.75
1536031655.8441918,81,0.78125
1536031656.4211936,82,0.703125
1536031656.6701908,83,0.8799999952316284
1536031657.9170077,84,0.9599999785423279
1536031658.4960146,85,0.75
1536031659.0650084,86,0.359375
1536031659.669007,87,0.734375
1536031660.251007,88,0.796875
1536031660.8260088,89,0.796875
1536031662.0625422,90,0.8399999737739563
1536031662.3005388,91,0.9200000166893005
1536031662.88454,92,0.765625
1536031663.4585402,93,0.265625
1536031664.0445385,94,0.796875
1536031664.6435378,95,0.890625
1536031666.2419095,96,0.8125
1536031666.4849124,97,0.8399999737739563
1536031666.7389116,98,0.8399999737739563
1536031667.3319108,99,0.78125
1536031668.0159152,100,0.4375
1536031668.6229115,101,0.703125
1536031670.202224,102,0.84375
1536031670.793221,103,0.75
1536031671.0442238,104,0.800000011920929
1536031671.2872226,105,0.8399999737739563
1536031671.8642187,106,0.796875
1536031672.4892292,107,0.3125
1536031674.0707757,108,0.890625
1536031674.6587725,109,0.828125
1536031675.2507727,110,0.84375
1536031675.4947777,111,0.8399999737739563
1536031675.7377753,112,0.9200000166893005
1536031676.3447726,113,0.875
1536031678.0064826,114,0.265625
1536031678.5871058,115,0.890625
1536031679.1551037,116,0.90625
