Wall time,Step,Value
1536031603.6853142,2,0.32343748211860657
1536031604.215312,3,0.34005680680274963
1536031604.7323127,4,0.3428266942501068
1536031605.2963119,5,0.278562068939209
1536031606.6546404,6,0.35060250759124756
1536031606.8770337,7,0.35624101758003235
1536031607.4060328,8,0.3808554410934448
1536031607.950033,9,0.3363952040672302
1536031608.525034,10,0.3400726020336151
1536031609.061033,11,0.35661715269088745
1536031610.5901678,12,0.3719206750392914
1536031610.807168,13,0.3866332471370697
1536031611.0211687,14,0.37573784589767456
1536031611.5661695,15,0.40088391304016113
1536031612.120167,16,0.4204743206501007
1536031612.6701665,17,0.3703535795211792
1536031614.2138317,18,0.36114466190338135
1536031614.754208,19,0.3813880980014801
1536031614.9682086,20,0.40946871042251587
1536031615.1822107,21,0.45618531107902527
1536031615.7192075,22,0.48732972145080566
1536031616.3192072,23,0.518225908279419
1536031617.9100757,24,0.44718191027641296
1536031618.4560754,25,0.4786323010921478
1536031619.0060768,26,0.5091046094894409
1536031619.2210784,27,0.5389062762260437
1536031619.4350762,28,0.5141797065734863
1536031619.9780786,29,0.5253251791000366
1536031621.52059,30,0.5193271040916443
1536031622.0885923,31,0.4824150800704956
1536031622.6315966,32,0.4898873269557953
1536031623.174591,33,0.5161163210868835
1536031623.3935907,34,0.5193592309951782
1536031623.6085904,35,0.5446096062660217
1536031625.141181,36,0.5886667370796204
1536031625.706182,37,0.5771833658218384
1536031626.2871838,38,0.5284545421600342
1536031626.8551807,39,0.558910071849823
1536031627.4441805,40,0.5654425621032715
1536031627.6991818,41,0.5677719712257385
1536031628.9655025,42,0.5879729986190796
1536031629.7849722,43,0.6042130589485168
1536031630.421974,44,0.5969935059547424
1536031631.0499723,45,0.5778695940971375
1536031631.652972,46,0.5779121518135071
1536031632.2219725,47,0.583060622215271
1536031633.4367864,48,0.5998455286026001
1536031633.7607858,49,0.5872383117675781
1536031634.5187857,50,0.6140461564064026
1536031635.2057822,51,0.6085666418075562
1536031635.8597803,52,0.5782191753387451
1536031636.5127811,53,0.6081745624542236
1536031638.102403,54,0.6128851175308228
1536031638.3594034,55,0.6213122606277466
1536031638.6194031,56,0.6464402079582214
1536031639.277403,57,0.6732407808303833
1536031639.998403,58,0.6687932014465332
1536031640.6204019,59,0.6146363019943237
1536031642.282879,60,0.6035999059677124
1536031642.9188757,61,0.6023151278495789
1536031643.1698768,62,0.6132674813270569
1536031643.3978784,63,0.6217265129089355
1536031644.0318792,64,0.6440107226371765
1536031644.6358774,65,0.6609306335449219
1536031646.2483785,66,0.6242549419403076
1536031646.8943763,67,0.635594367980957
1536031647.560382,68,0.6435914039611816
